,post_id,post_text,time,comments,shares,reaction_count,media,day,hour
34,663934552609086,"Hơn 2 năm trước, Đối tượng Nguyễn Văn Cường (SN 1998, ở xã Nga Giáp, huyện Nga Sơn, Thanh Hóa) do mẫu thuẫn cá nhân đã dùng xăng tưới lên ô tô người khác, dùng bật lửa gây cháy rồi bỏ trốn. Cơ quan Cảnh sát điều tra, Công an huyện Nga Sơn ra lệnh truy nã đặc biệt nguy hiểm về tội Hủy hoại tài sản.

Trước khi bị bắt, Cường đã bỏ trốn vào các tỉnh phía Nam, sau đó ra Hà Nội mượn, lấy thông tin, hồ sơ của một người làm nghề xe ôm công nghệ đã nghỉ việc để chạy xe. Đối tượng này đã liên tục thay đổi chỗ ở hòng trốn tránh sự truy bắt của lực lượng công an.

Ngày 17/11, sau khi nhận được thông tin về một đối tượng có đặc điểm nhận dạng giống Nguyễn Văn Cường đang chạy xe ôm công nghệ tại phường Thượng Đình, quận Thanh Xuân, Hà Nội, Công an huyện Nga Sơn đã cử tổ công tác trực tiếp lên đường ra Hà Nội để xác minh, làm rõ.

Qua công tác xác minh, các trinh sát xác định đó chính là Nguyễn Văn Cường nên đã phối hợp với Công an quận Thanh Xuân bắt giữ đối tượng và di lý về Nga Sơn để phục vụ công tác điều tra, xử lý tội phạm.",2023-11-20 09:01:02,20,16,1400,1,20,9
35,663922779276930,"Chúc mừng ngày Nhà giáo Việt Nam!

Xin chúc các thầy cô có thật nhiều sức khỏe, niềm vui để vững tay chèo đưa học sinh tới bến bờ tri thức.",2023-11-20 08:06:12,89,610,8200,1,20,8
36,663685452633996,Một nhà hát độc đáo với công nghệ hiện đại có một không hai trên thế giới. Hãy cùng Chuyển động 24h khám phá.,2023-11-19 22:00:28,42,34,1600,2,19,22
37,663684109300797,Phương thức làm việc từ xa liệu có còn phát huy được tác dụng hay đã đến lúc cần loại bỏ? - Những cuộc tranh cãi về vấn đề này vẫn đang nóng tại nhiều quốc gia,2023-11-19 21:30:53,5,21,606,2,19,21
38,663682795967595,"Hàng trăm căn nhà xây dựng trái phép trên đất nông nghiệp tại quận Bình Tân, TP.HCM vừa bị phá dỡ.",2023-11-19 21:06:55,331,177,2700,2,19,21
39,663600422642499,"Theo cuộc khảo sát được thực hiện mới đây của Meta-Gallup trên 142 quốc gia, 24% số người từ độ tuổi 15 trở lên cho biết họ cảm thấy rất hoặc khá cô đơn khi được hỏi: “Bạn cảm thấy cô đơn đến mức nào?”.

Cuộc khảo sát cũng cho thấy tỷ lệ cô đơn cao nhất là ở thanh niên, với 27% thanh niên từ 19 đến 29 tuổi cảm thấy cô đơn. Người lớn có tỷ lệ thấp nhất với chỉ 17% người từ 65 tuổi trở lên cảm thấy cô đơn.

Hơn một nửa số người trưởng thành từ 45 tuổi trở lên cho biết họ không cảm thấy cô đơn chút nào, trong khi phần lớn những người dưới 45 tuổi trả lời rằng họ cảm thấy một chút cô đơn, nếu không phải là rất cô đơn.

Ellyn Maese, cố vấn nghiên cứu cấp cao của Gallup, nói với CNN: “Có rất nhiều…",2023-11-19 20:30:02,50,28,1000,1,19,20
40,663553329313875,"Ngày 19/11, Công an TP Gia Nghĩa (Đắk Nông) đang hoàn tất thủ tục điều tra làm rõ vụ việc ông N.H.P (trú tại TDP 16, thị trấn Đắk Mil, huyện Đắk Mil, Đắk Nông, chủ xe) sau khi bị lực lượng CSGT kiểm tra, lập biên bản vi phạm nồng độ cồn đã mở nắp bình xăng, dùng bật lửa đốt luôn xe.

Theo thông tin ban đầu, khoảng 20h20 ngày 18/11, Tổ công tác liên ngành Công an tỉnh Đắk Nông kiểm tra nồng độ cồn người điều khiển xe máy BKS 48E1-342.00. Kết quả lái xe tên N.X.Đ (trú tại tổ dân phố 3, phường Nghĩa Đức, TP. Gia Nghĩa) vi phạm nồng độ vượt quá 0,4 miligam/lít khí thở. Chủ chiếc xe trên là anh N.H.P (trú tại thị trấn Đắk Mil, huyện Đắk Mil) người ngồi phía sau xe.

Sau đó, Tổ công tác đã lập biên bản xử lý người điều khiển vi phạm nồng độ cồn, quyết định tạm giữ phương tiện. Theo quy định, người vi phạm bị phạt số tiền từ 6 - 8 triệu đồng, tước giấy phép lái xe.

Sau đó, anh N.H.P xin phép lại lấy đồ trong cốp xe và bất ngờ mở nắp bình xăng, lấy bật lửa và tự đốt xe của mình. Ngọn lửa bốc cháy dữ dội lực lượng CSGT đã dùng bình cứu hỏa để dập lửa nhưng chiếc xe bị thiêu rụi.",2023-11-19 19:30:02,58,24,1400,1,19,19
41,663607799308428,"Chỉ cần search ""tung đồng xu"" bạn sẽ thấy có công cụ hỗ trợ làm công việc này online với hai mặt sấp, ngửa.

Trong 1 ""trận đấu căng thẳng"" mới đây, chiến thắng trong lượt tung đồng xu là việc duy nhất mà đội thua làm được.",2023-11-19 18:34:37,4800,4800,32000,1,19,18
42,663596875976187,"Ngân hàng Chính sách xã hội Chi nhánh tỉnh Quảng Nam vừa có quyết định chi 113 triệu đồng để hỗ trợ nam đoàn viên công đoàn, người lao động nhân dịp kỷ niệm ngày Quốc tế đàn ông 19/11.

Quyết định trên được ông Lê Hùng Lam, Giám đốc Ngân hàng chính sách xã hội tỉnh Quảng Nam ký vào ngày 13/11.

Theo đó, ngân hàng quyết địch trích quỹ phúc lợi chi nhánh Ngân hàng Chính sách xã hội tỉnh Quảng Nam số tiền 113 triệu đồng để hỗ trợ cho nam đoàn viên công đoàn, người lao động của chi nhánh nhân dịp kỷ niệm ngày quốc tế đàn ông 19/11. Tổng số nam đoàn viên được hỗ trợ là 113 người với mức chi 1 triệu đồng mỗi người.

Hôm 20/10 - ngày Phụ nữ Việt Nam, ngân hàng này cũng chi khoảng 116 triệu đồng cho 116 nữ nhân viên.

Các bạn nam hôm nay đã nhận được quà gì rồi?",2023-11-19 18:32:02,86,43,3900,1,19,18
43,663490959320112,"Hẳn các bạn vẫn nhớ cô giáo Lê Thị Thắm- người nhận mình là cô giáo chim cánh cụt tại Đông Sơn, Thanh Hoá! Nghị lực phi thường của cô gái nhỏ không tay đã khiến cho mọi người cảm phục.

Nhân ngày 20/11, hãy cùng chúng tôi ghé thăm cô giáo nhỏ đặc biệt này để nghe em tâm sự về hành trình thực hiện ước mơ của mình.",2023-11-19 17:30:10,68,164,4400,2,19,17
